# begin r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00:
# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  0.000000000000000E+00   0.000000000000000E+00
  1  0  0.000000000000000E+00   0.000000000000000E+00
  1  1  0.000000000000000E+00   0.000000000000000E+00
  2  0  0.000000000000000E+00   0.000000000000000E+00
  2  1  0.000000000000000E+00   0.000000000000000E+00
  2  2  0.000000000000000E+00   0.000000000000000E+00
  3  0  0.000000000000000E+00   0.000000000000000E+00
  3  1  0.000000000000000E+00   0.000000000000000E+00
  3  2  0.000000000000000E+00   0.000000000000000E+00
  3  3  0.000000000000000E+00   0.000000000000000E+00
  4  0  0.000000000000000E+00   0.000000000000000E+00
  4  1  0.000000000000000E+00   0.000000000000000E+00
  4  2  0.000000000000000E+00   0.000000000000000E+00
  4  3  0.000000000000000E+00   0.000000000000000E+00
  4  4  0.000000000000000E+00   0.000000000000000E+00
  5  0  0.000000000000000E+00   0.000000000000000E+00
  5  1  0.000000000000000E+00   0.000000000000000E+00
  5  2  0.000000000000000E+00   0.000000000000000E+00
  5  3  0.000000000000000E+00   0.000000000000000E+00
  5  4  0.000000000000000E+00   0.000000000000000E+00
  5  5  0.000000000000000E+00   0.000000000000000E+00
  6  0  0.000000000000000E+00   0.000000000000000E+00
  6  1  0.000000000000000E+00   0.000000000000000E+00
  6  2  0.000000000000000E+00   0.000000000000000E+00
  6  3  0.000000000000000E+00   0.000000000000000E+00
  6  4  0.000000000000000E+00   0.000000000000000E+00
  6  5  0.000000000000000E+00   0.000000000000000E+00
  6  6  0.000000000000000E+00   0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R = -5.000000000000000E-01 -5.000000000000000E-01  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  0.000000000000000E+00   0.000000000000000E+00
  1  1 -1.727470747356677E-01  -1.727470747356677E-01
  2  0 -1.576957826262601E-01  -0.000000000000000E+00
  2  1 -0.000000000000000E+00  -0.000000000000000E+00
  2  2  0.000000000000000E+00   1.931371010115948E-01
  3  0 -0.000000000000000E+00  -0.000000000000000E+00
  3  1  8.079504602853767E-02   8.079504602853767E-02
  3  2  0.000000000000000E+00   0.000000000000000E+00
  3  3  1.043059559081960E-01  -1.043059559081960E-01
  4  0  7.933916018640325E-02   0.000000000000000E+00
  4  1  0.000000000000000E+00   0.000000000000000E+00
  4  2 -0.000000000000000E+00  -8.363081794466115E-02
  4  3  0.000000000000000E+00  -0.000000000000000E+00
  4  4 -1.106331731112457E-01   0.000000000000000E+00
  5  0  0.000000000000000E+00   0.000000000000000E+00
