  Z  CORE VAL  ION
  7.   2   1  0.000000
  
  
  
 THE FOLLOWING DATA IS THE MODIFIED HFS POTENTIAL, RV(R), GIVEN AT THE
 441 POINTS OF THE MESH, IN RYDBERG AUs, IDEALLY = -2Z U
  
 -1.4000000E+01-1.3972178E+01-1.3944206E+01-1.3916117E+01-1.3887895E+01 Z  7   1
 -1.3859545E+01-1.3831097E+01-1.3802544E+01-1.3773918E+01-1.3745163E+01 Z  7   2
 -1.3716319E+01-1.3687430E+01-1.3658450E+01-1.3629426E+01-1.3600393E+01 Z  7   3
 -1.3571292E+01-1.3542096E+01-1.3512930E+01-1.3483685E+01-1.3454436E+01 Z  7   4
 -1.3425165E+01-1.3395933E+01-1.3366636E+01-1.3337353E+01-1.3308050E+01 Z  7   5
 -1.3278777E+01-1.3249483E+01-1.3220224E+01-1.3190994E+01-1.3161781E+01 Z  7   6
 -1.3132614E+01-1.3103418E+01-1.3074295E+01-1.3045218E+01-1.3016115E+01 Z  7   7
 -1.2987110E+01-1.2958176E+01-1.2929213E+01-1.2900300E+01-1.2871495E+01 Z  7   8
 -1.2842737E+01-1.2785408E+01-1.2728330E+01-1.2671576E+01-1.2615051E+01 Z  7   9
 -1.2558817E+01-1.2502874E+01-1.2447304E+01-1.2392075E+01-1.2337214E+01 Z  7  10
 -1.2282704E+01-1.2228615E+01-1.2174913E+01-1.2121445E+01-1.2068473E+01 Z  7  11
 -1.2015770E+01-1.1963457E+01-1.1911611E+01-1.1860165E+01-1.1809052E+01 Z  7  12
 -1.1758478E+01-1.1708250E+01-1.1658422E+01-1.1609007E+01-1.1560080E+01 Z  7  13
 -1.1511412E+01-1.1463249E+01-1.1415361E+01-1.1367953E+01-1.1320857E+01 Z  7  14
 -1.1274253E+01-1.1228075E+01-1.1182343E+01-1.1136906E+01-1.1091851E+01 Z  7  15
 -1.1047153E+01-1.1002755E+01-1.0958730E+01-1.0915174E+01-1.0872009E+01 Z  7  16
 -1.0829241E+01-1.0744658E+01-1.0661548E+01-1.0579819E+01-1.0499302E+01 Z  7  17
 -1.0420140E+01-1.0342204E+01-1.0265500E+01-1.0189971E+01-1.0115650E+01 Z  7  18
 -1.0042358E+01-9.9702492E+00-9.8990088E+00-9.8287926E+00-9.7595940E+00 Z  7  19
 -9.6912289E+00-9.6238756E+00-9.5573883E+00-9.4918480E+00-9.4271269E+00 Z  7  20
 -9.3632479E+00-9.2999811E+00-9.2375965E+00-9.1758595E+00-9.1148767E+00 Z  7  21
 -9.0545168E+00-8.9949799E+00-8.9359732E+00-8.8775969E+00-8.8198853E+00 Z  7  22
 -8.7628365E+00-8.7063122E+00-8.6503677E+00-8.5949879E+00-8.5401325E+00 Z  7  23
 -8.4858589E+00-8.4321194E+00-8.3789082E+00-8.3262129E+00-8.2740231E+00 Z  7  24
 -8.2223406E+00-8.1204758E+00-8.0205202E+00-7.9224691E+00-7.8263540E+00 Z  7  25
 -7.7321239E+00-7.6397219E+00-7.5491996E+00-7.4605017E+00-7.3736238E+00 Z  7  26
 -7.2885361E+00-7.2052259E+00-7.1236553E+00-7.0438118E+00-6.9656453E+00 Z  7  27
 -6.8891249E+00-6.8141985E+00-6.7408314E+00-6.6689577E+00-6.5985346E+00 Z  7  28
 -6.5294962E+00-6.4618006E+00-6.3953757E+00-6.3301744E+00-6.2661338E+00 Z  7  29
 -6.2032104E+00-6.1413383E+00-6.0804782E+00-6.0205717E+00-5.9615898E+00 Z  7  30
 -5.9034739E+00-5.8461962E+00-5.7897110E+00-5.7339969E+00-5.6790085E+00 Z  7  31
 -5.6247306E+00-5.5711246E+00-5.5181837E+00-5.4658670E+00-5.4141741E+00 Z  7  32
 -5.3630676E+00-5.2625957E+00-5.1643343E+00-5.0681963E+00-4.9741058E+00 Z  7  33
 -4.8820038E+00-4.7918363E+00-4.7035608E+00-4.6171350E+00-4.5325317E+00 Z  7  34
 -4.4497156E+00-4.3686991E+00-4.2893734E+00-4.2117605E+00-4.1358461E+00 Z  7  35
 -4.0615749E+00-3.9889164E+00-3.9179051E+00-3.8484523E+00-3.7805614E+00 Z  7  36
 -3.7141991E+00-3.6493492E+00-3.5859799E+00-3.5240593E+00-3.4635522E+00 Z  7  37
 -3.4044557E+00-3.3467045E+00-3.2903161E+00-3.2352030E+00-3.1814063E+00 Z  7  38
 -3.1288342E+00-3.0775151E+00-3.0273738E+00-2.9784331E+00-2.9305897E+00 Z  7  39
 -2.8838949E+00-2.8382726E+00-2.7937238E+00-2.7502017E+00-2.7077169E+00 Z  7  40
 -2.6662028E+00-2.5860572E+00-2.5095644E+00-2.4365659E+00-2.3668704E+00 Z  7  41
 -2.3003287E+00-2.2367773E+00-2.1760876E+00-2.1180935E+00-2.0626941E+00 Z  7  42
 -2.0097504E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  43
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  44
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  45
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  46
 -2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00-2.0000000E+00 Z  7  47
